name 名称
country 国家
type 类别
category 分类
birth 诞生期
description 描述
imagePath 图片路径
firstflightTime 首飞时间
serviceTime 服役时间
productionUnit 生产单位
researchAndDevelopmentUnit 研发单位
aerodynamicLayout 气动布局
enginesNumber 发动机数量
flightSpeed 飞行速度
attentionDegree 关注度
crew 乘员
planeCaptain 机长
wingspan 翼展
machineHeight 机高
emptyWeight 空重
engine 发动机
maximumTakeOffWeight 最大起飞重量
maximumFlightSpeed 最大飞行速度
maximumRange 最大航程
structuralCharacteristics 结构特点
developmentProcess 研制历程
usageSituation 使用情况
modelEvolution 型号演变
mainUsers 主要用户
